line number,Character,Character pinyin,Character EN translation,Character HE translation ,Related Sentence,Sentence Pinyin,Sentence EN Translation,Sentence HE Translation,Apearances in sentences,Group,Sentence Length
173,健,jiàn,healthy,בָּרִיא,健康是最宝贵的财富,jiàn kāng shì zuì bǎo guì de cái fù,Health is the most precious wealth,בריאות היא העושר היקר ביותר,7,Group 1,9
174,助,zhù,help,עֶזרָה,她主动帮助需要的人,tā zhǔ dòng bāng zhù xū yào de rén,She takes the initiative to help those in need,היא לוקחת יוזמה לעזור לנזקקים,9,Group 1,9
175,朋,péng,friend,חבר,朋友之间要互相理解,péng yǒu zhī jiān yào hù xiāng lǐ jiě,Friends should understand each other,חברים צריכים להבין אחד את השני,19,Group 1,9
176,河,hé,river,נָהָר,河边有很多垂钓的人,hé biān yǒu hěn duō chuí diào de rén,There are many people fishing by the river,יש הרבה אנשים שדגים ליד הנהר,12,Group 1,9
177,历,lì,calendar,לוּחַ שָׁנָה,他详细地历数了工作经历,tā xiáng xì dì lì shù liǎo gōng zuò jīng lì,He recounted his work experience in detail,הוא סיפר בפירוט על ניסיון העבודה שלו,11,Group 1,11
178,久,jiǔ,Long,אָרוֹך,很久没有见面，大家很激动,hěn jiǔ méi yǒu jiàn miàn ， dà jiā hěn jī dòng,"We haven't seen each other for a long time, and we are very excited.","הרבה זמן לא התראינו, ואנחנו מאוד נרגשים.",8,Group 1,12
179,情,qíng,Affection,אַהֲבָה,情感是人类最丰富的体验之一,qíng gǎn shì rén lèi zuì fēng fù de tǐ yàn zhī yī,Emotion is one of the richest human experiences,רגש הוא אחת החוויות האנושיות העשירות ביותר,19,Group 1,13
180,停,tíng,stop;,לְהַפְסִיק;,停电,tíng diàn,power failure,הפסקת חשמל,6,Group 1,2
181,船,chuán,boat; ship.,סִירָה; סְפִינָה.,坐船,zuò chuán,By boat,בסירה,5,Group 1,2
182,传真,chuánzhēn,fax.,פַקס.,传真机,chuán zhēn jī,fax machine,מכשיר פקס,6,Group 1,3
183,口袋,kǒudài,pocket.,כִּיס.,口袋里,kǒu dài lǐ,Pocket,כִּיס,6,Group 1,3
184,少数,shǎoshù,minority.,מיעוט.,少数人,shǎoshù rén,A minority,מיעוט,6,Group 1,3
185,老板,lǎobǎn,boss.,בּוֹס.,老板给,lǎo bǎn gěi,The boss gave,הבוס נתן,6,Group 1,3
186,环境,huánjìng,environment; surroundings,סְבִיבָה; הסביבה,好环境,hǎo huánjìng,Good environment,סביבה טובה,6,Group 1,3
187,运气,yùnqi,fortune; luck.,מַזָל; מַזָל.,好运气,hǎo yùnqì,Good luck,בהצלחה,6,Group 1,3
188,清楚,qīngchǔ,clear,בָּרוּר,写清楚,xiě qīng chǔ,Write clearly,כתוב ברור,6,Group 1,3
189,汉字,hànzì,Chinese character.,אופי סיני.,学汉字,xué hànzì,Learn Chinese characters,אופי סיני,4,Group 1,3
190,草地,cǎodì,grass,דֶשֶׁא,绿草地,lǜ cǎodì,green grass,דשא ירוק,6,Group 1,3
191,抽屉,chōuti,drawer.,מְגֵרָה.,开抽屉,kāi chōuti,Open drawer,פתח את המגירה,6,Group 1,3
192,出发,chūfā,set out; start off,יצא לדרך; לָצֵאת לָדֶרֶך,出发了,chūfā le,Set off,צאו לדרך,6,Group 1,3
193,出门,chūmén,leave home,לצאת מהבית,出门了,chūmén le,Going out,יוֹצֵא,4,Group 1,3
194,广场,guǎngchǎng,public square,כיכר ציבורית,在广场,zài guǎngchǎng,In the square,בכיכר,6,Group 1,3
195,基础,jīchǔ,"foundation, basis;","יסוד, בסיס;",打基础,dǎ jīchǔ,Laying the foundation,הנחת היסוד,6,Group 1,3
196,骄傲,jiāo'ào,pride.,גֵאָה.,很骄傲,hěn jiāo'ào,Very proud,גאה מאוד,4,Group 1,3
197,进行,jìnxíng,"go on, progress","קדימה, תתקדם",进行中,jìnxíng zhōng,in progress,בתהליך,6,Group 1,3
198,裙子,qúnzi,skirt.,חֲצָאִית.,穿裙子,chuān qúnzi,Wear a skirt,תלבשי חצאית,6,Group 1,3
199,胜利,shènglì,victory;,נִצָחוֹן;,胜利了,shènglì le,Victory,נִצָחוֹן,6,Group 1,3
200,舒服,shūfu,comfortable,נוֹחַ,很舒服,hěn shūfu,Very comfortable,מאוד נוח,6,Group 1,3
201,项链,xiàngliàn,necklace.,שַׁרשֶׁרֶת.,戴项链,dài xiàngliàn,Wearing a necklace,עונדת שרשרת,6,Group 1,3
202,油画,yóuhuà,oil painting.,ציור שמן.,风景油画,fēng jǐng yóu huà,Landscape Oil Painting,ציור שמן נוף,6,Group 1,4
203,文物,wénwù,cultural/historical relics.,שרידים תרבותיים/היסטוריים.,文物古迹,wén wù gǔ jì,Cultural relics and historical sites,שרידי תרבות ואתרים היסטוריים,6,Group 1,4
204,民族,mínzú,nationality.,אֶזרָחוּת.,少数民族,shǎoshù mínzú,minority,מיעוט,6,Group 1,4
205,经历,jīnglì,experience.,הִתנַסוּת.,我经历了,wǒ jīng lì liǎo,I experienced,חוויתי,4,Group 1,4
206,艺术,yìshù,art;,אָמָנוּת;,传统艺术,chuán tǒng yì shù,Traditional Arts,אומנויות מסורתיות,6,Group 1,4
207,咖啡馆,kāfēiguǎn,coffee bar,בר קפה,去咖啡馆,qù kāfēiguǎn,Go to a cafe,לך לבית קפה,6,Group 1,4
208,巧克力,qiǎokèlì,chocolate,שׁוֹקוֹלַד,吃巧克力,chī qiǎokèlì,Eat chocolate,לאכול שוקולד,6,Group 1,4
209,中午,zhōngwǔ,noon;,צָהֳרַיִים;,中午吃饭,zhōngwǔ chīfàn,lunch,אֲרוּחַת צָהֳרִים,6,Group 1,4
210,仔细,zǐxì,careful;,זָהִיר;,仔细检查,zǐxì jiǎnchá,Careful inspection,בדיקה מדוקדקת,6,Group 1,4
211,积极,jījí,active; energetic;,פָּעִיל; נִמרָץ;,积极词汇,jī jí cí huì,Active vocabulary,אוצר מילים פעיל,6,Group 1,4
212,时,shí,hour,שָׁעָה,时间过得真快,shí jiān guò dé zhēn kuài,Time flies,זְמַן חוֹלֵף,32,Group 1,6
213,些,xiē,some,כַּמָה,我买了一些新书,wǒ mǎi liǎo yī xiē xīn shū,I bought some new books,קניתי כמה ספרים חדשים,15,Group 1,7
214,信,xìn,letter,מִכְתָב,我收到了你的信,wǒ shōu dào liǎo nǐ de xìn,I received your letter,קיבלתי את מכתבך,12,Group 1,7
215,头,tóu,head,רֹאשׁ,他的头疼得厉害,tā de tóu téng dé lì hài,He has a severe headache.,יש לו כאב ראש חזק.,15,Group 1,7
216,打,dǎ,beat,לְהַכּוֹת,他打电话给朋友,tā dǎ diàn huà gěi péng yǒu,He called a friend,הוא התקשר לחבר,17,Group 1,7
217,报,bào,Newspaper,עִתוֹן,他每天早上读报,tā měi tiān zǎo shàng dú bào,He reads the newspaper every morning,הוא קורא עיתון כל בוקר,14,Group 1,7
218,早,zǎo,morning,שַׁחַר,我早上六点起床,wǒ zǎo shàng liù diǎn qǐ chuáng,I get up at six in the morning,אני קם בשש בבוקר,12,Group 1,7
219,么,me,What,מַה,你说的是什么意思,nǐ shuō de shì shén me yì sī,What do you mean?,למה אתה מתכוון?,21,Group 1,8
220,交,jiāo,pay,לְשַׁלֵם,我们下周要交作业,wǒ mén xià zhōu yào jiāo zuò yè,We have homework due next week.,יש לנו שיעורי בית בשבוע הבא.,12,Group 1,8
221,休,xiū,stop,לְהַפְסִיק,周末可以好好休息,zhōu mò kě yǐ hǎo hǎo xiū xī,Have a good rest on weekends,תנוח טוב בסופי שבוע,9,Group 1,8
222,室,shì,room,חֶדֶר,教室里坐满了学生,jiào shì lǐ zuò mǎn liǎo xué shēng,The classroom is full of students,הכיתה מלאה בתלמידים,8,Group 1,8
223,富,fù,rich,עָשִׁיר,他是一位富有的人,tā shì yī wèi fù yǒu de rén,He is a wealthy man,הוא איש עשיר,7,Group 1,8
224,要,yào,want,מַחְסוֹר,你要按时完成作业,nǐ yào àn shí wán chéng zuò yè,You need to complete your homework on time,אתה צריך להשלים את שיעורי הבית שלך בזמן,75,Group 1,8
225,乐,lè/yuè,happy,שַׂמֵחַ,听音乐让人感到快乐,tīng yīn lè ràng rén gǎn dào kuài lè,Listening to music makes people feel happy,האזנה למוזיקה גורמת לאנשים להרגיש מאושרים,10,Group 1,9
226,医,yī,medical,רְפוּאִי,医生正在给病人看病,yī shēng zhèng zài gěi bìng rén kàn bìng,The doctor is seeing a patient,הרופא פוגש מטופל,12,Group 1,9
227,名,míng,name,שֵׁם,他的名字写在名单上,tā de míng zì xiě zài míng dān shàng,His name is on the list,שמו ברשימה,15,Group 1,9
228,坐,zuò,sit,לָשֶׁבֶת,我喜欢坐在窗边看书,wǒ xǐ huān zuò zài chuāng biān kàn shū,I like to sit by the window and read,אני אוהב לשבת ליד החלון ולקרוא,19,Group 1,9
229,气,qì,gas,גַז,空气中弥漫着花香气,kōng qì zhōng mí màn zhuó huā xiāng qì,The air is filled with the fragrance of flowers,האוויר מתמלא בניחוח של פרחים,26,Group 1,9
230,保,bǎo,Save,לְהַצִיל,请保管好你的贵重物品,qǐng bǎo guǎn hǎo nǐ de guì zhòng wù pǐn,Please keep your valuables safe,נא לשמור את חפצי הערך שלך בטוחים,8,Group 1,10
231,前,qián,forward,קָדִימָה,前方道路施工，请绕行,qián fāng dào lù shī gōng ， qǐng rào xíng,"Road construction ahead, please detour","סלילת כבישים קדימה, בבקשה עקוף",15,Group 1,10
232,感,gǎn,feel,תְחוּשָׁה,感恩的心让人更加幸福,gǎn ēn de xīn ràng rén gēng jiā xìng fú,A grateful heart makes people happier,לב אסיר תודה גורם לאנשים להיות מאושרים יותר,22,Group 1,10
233,全,quán,Complete,לְהַשְׁלִים,我们要全力以赴完成任务,wǒ mén yào quán lì yǐ fù wán chéng rèn wù,We must go all out to complete the task,אנחנו חייבים לעשות הכל כדי להשלים את המשימה,12,Group 1,11
234,备,bèi,Preparation,הֲכָנָה,我已经准备好了所有材料,wǒ yǐ jīng zhǔn bèi hǎo liǎo suǒ yǒu cái liào,I have prepared all the materials,הכנתי את כל החומרים,8,Group 1,11
235,日,rì,day,יְוֹם,今天是个阳光明媚的日子,jīn tiān shì gè yáng guāng míng mèi de rì zǐ,Today is a sunny day,היום הוא יום שמש,9,Group 1,11
236,生,shēng,born,נוֹלָד,学生们在教室里认真学习,xué shēng mén zài jiào shì lǐ rèn zhēn xué xí,Students studying hard in the classroom,תלמידים לומדים קשה בכיתה,44,Group 1,11
237,倒,dào,upside down; pour;,הָפוּך; לִשְׁפּוֹך;,倒水,dào shuǐ,Pour water,יוצקים מים,3,Group 1,2
238,倒,dǎo,fall; collapse; fail;,סתָיו; הִתמוֹטְטוּת; לְהִכָּשֵׁל;,倒车,dào chē,Reversing,היפוך,3,Group 1,2
239,超,chāo,exceed; surpass;,לַחרוֹג; לַעֲלוֹת עַל;,超车,chāo chē,overtake,לַעֲקוֹף,5,Group 1,2
240,吹,chuī,boast;,לְהִתְפַּאֵר;,吹风,chuī fēng,Hairdrying,ייבוש שיער,5,Group 1,2
241,雪,xuě,snow;,שֶׁלֶג;,滑雪课,huá xuě kè,ski lessons,שיעורי סקי,5,Group 1,3
242,少,shào,young; younger,צָעִיר; צעירים יותר,就取多少,jiù qǔ duō shǎo,Take as much as you want,קח כמה שאתה רוצה,4,Group 1,4
243,够,gòu,enough,מַסְפִּיק,钱不够花,qián bù gòu huā,Not enough money,אין מספיק כסף,4,Group 1,4
244,看,kàn,look,מַבָּט,我喜欢看书,wǒ xǐ huān kàn shū,I like reading,אני אוהב לקרוא,44,Group 1,5
245,努,nǔ,Nu,נו,他努力学习英语,tā nǔ lì xué xí yīng yǔ,He studied English hard,הוא למד אנגלית קשה,10,Group 1,7
246,叶,yè,leaf,עָלֶה,树叶在风中飘落,shù yè zài fēng zhōng piāo luò,Leaves falling in the wind,עלים נושרים ברוח,7,Group 1,7
247,墙,qiáng,wall,קִיר,墙上挂着一幅画,qiáng shàng guà zhuó yī fú huà,There is a painting hanging on the wall,על הקיר תלוי ציור,7,Group 1,7
248,市,shì,city,עִיר,市场里人来人往,shì cháng lǐ rén lái rén wǎng,People coming and going in the market,אנשים באים והולכים בשוק,15,Group 1,7
249,漂,piāo,drift,סְחִיפָה,小船在水面上漂,xiǎo chuán zài shuǐ miàn shàng piāo,The boat floats on the water,הסירה צפה על פני המים,12,Group 1,7
250,请,qǐng,please,אָנָא,请你帮我一个忙,qǐng nǐ bāng wǒ yī gè máng,Please do me a favor,בבקשה תעשה לי טובה,55,Group 1,7
251,车,chē,car,מְכוֹנִית,公交车准时到站,gōng jiāo chē zhǔn shí dào zhàn,The bus arrives on time,האוטובוס מגיע בזמן,23,Group 1,7
252,丽,lì,Korea,קוריאה,这条裙子颜色很丽,zhè tiáo qún zǐ yán sè hěn lì,This skirt is very colorful,החצאית הזו מאוד צבעונית,8,Group 1,8
253,住,zhù,live,לִחיוֹת,我住在城市的中心,wǒ zhù zài chéng shì de zhōng xīn,I live in the center of the city,אני גר במרכז העיר,23,Group 1,8
254,张,zhāng,open,לִפְתוֹחַ,张老师今天很开心,zhāng lǎo shī jīn tiān hěn kāi xīn,Teacher Zhang is very happy today,המורה ג'אנג מאוד שמח היום,11,Group 1,8
255,树,shù,Tree,עֵץ,公园里种了很多树,gōng yuán lǐ zhǒng liǎo hěn duō shù,There are many trees planted in the park,בפארק נטועים עצים רבים,11,Group 1,8
256,亲,qīn,relative,יַחֲסִי,父母是我们最亲的人,fù mǔ shì wǒ mén zuì qīn de rén,Parents are the closest people to us,הורים הם האנשים הכי קרובים אלינו,10,Group 1,9
257,包,bāo,Bag,תִיק,她背着一个大包上学,tā bèi zhuó yī gè dà bāo shàng xué,She carries a big bag to school,היא נושאת תיק גדול לבית הספר,14,Group 1,9
258,史,shǐ,history,הִיסטוֹרִיָה,他对历史非常感兴趣,tā duì lì shǐ fēi cháng gǎn xīng qù,He is very interested in history,הוא מתעניין מאוד בהיסטוריה,6,Group 1,9
259,定,dìng,Certainly,בְּהֶחלֵט,我们已经定好了行程,wǒ mén yǐ jīng dìng hǎo liǎo xíng chéng,We have already planned our itinerary,כבר תכננו את מסלול הטיול שלנו,12,Group 1,9
260,影,yǐng,film,סֶרֶט,电影的影像非常清晰,diàn yǐng de yǐng xiàng fēi cháng qīng xī,The movie images are very clear,תמונות הסרט ברורות מאוד,12,Group 1,9
261,海,hǎi,ocean,יָם,我们计划去海边度假,wǒ mén jì huá qù hǎi biān dù jiǎ,We plan to go on vacation to the seaside,אנחנו מתכננים לצאת לחופשה על חוף הים,15,Group 1,9
262,用,yòng,use,לְהִשְׁתַמֵשׁ,你可以用这支笔写字,nǐ kě yǐ yòng zhè zhī bǐ xiě zì,You can write with this pen,אתה יכול לכתוב עם העט הזה,31,Group 1,9
263,电,diàn,electricity,חַשְׁמַל,我们家刚安装了电灯,wǒ mén jiā gāng ān zhuāng liǎo diàn dēng,We just installed electric lights in our house,זה עתה התקנו נורות חשמל בבית שלנו,25,Group 1,9
264,衣,yī,Clothes,בגדים,他换上了干净的衣服,tā huàn shàng liǎo gān jìng de yī fú,He changed into clean clothes,הוא החליף בגדים נקיים,17,Group 1,9
265,优,yōu,excellent,מְעוּלֶה,这家店的服务非常优质,zhè jiā diàn de fú wù fēi cháng yōu zhì,This store has excellent service,בחנות הזו יש שירות מעולה,6,Group 1,10
266,兴,xīng,prosper,לְשַׂגְשֵׂג,这件事情让大家很兴奋,zhè jiàn shì qíng ràng dà jiā hěn xīng fèn,This made everyone very excited.,זה גרם לכולם להתרגש מאוד.,6,Group 1,10
267,外,wài,outside,בָּחוּץ,外面正在下雨，请带伞,wài miàn zhèng zài xià yǔ ， qǐng dài sǎn,"It's raining outside, please bring an umbrella","יורד גשם בחוץ, נא להביא מטריה",17,Group 1,10
268,互,hù,mutual,הֲדָדִי,他们互相帮助，关系很好,tā mén hù xiāng bāng zhù ， guān xì hěn hǎo,They help each other and have a good relationship,הם עוזרים אחד לשני ויש להם מערכת יחסים טובה,4,Group 1,11
269,像,xiàng,picture,תְמוּנָה,这只狗像小狮子一样威武,zhè zhī gǒu xiàng xiǎo shī zǐ yī yàng wēi wǔ,This dog is as majestic as a little lion,הכלב הזה מלכותי כמו אריה קטן,11,Group 1,11
270,告,gào,tell,לְסַפֵּר,他向大家报告了最新情况,tā xiàng dà jiā bào gào liǎo zuì xīn qíng kuàng,He reported the latest situation to everyone,הוא דיווח לכולם על המצב האחרון,8,Group 1,11
